Day,Month,Year,Description,Category,Value,Balance
1,1,2010,Rhino Sports salary,General,1700,1700
1,1,2010,ASDA,Groceries,80,1620
1,1,2010,Caffe Nero,Eating Out,2,1618
1,1,2010,Greggs,Eating Out,7,1611
2,1,2010,Dominos Pizza,Eating Out,54,1557
4,1,2010,South West Trains,Transport,31,1526
5,1,2010,Wild Bean Cafe,Eating Out,1,1525
5,1,2010,The West Cornwall Pasty Company,Eating Out,6,1519
6,1,2010,Costa Coffee,Eating Out,2,1517
6,1,2010,McDonalds,Eating Out,5,1512
7,1,2010,Cubit and West rent,Rent,550,962
7,1,2010,Caffe Nero,Eating Out,2,960
7,1,2010,The West Cornwall Pasty Company,Eating Out,6,954
7,1,2010,ATM Cash Withdrawal,General,20,934
8,1,2010,Morrisons,Groceries,81,853
8,1,2010,Costa Coffee,Eating Out,2,851
8,1,2010,The West Cornwall Pasty Company,Eating Out,7,844
8,1,2010,Dominos Pizza,Eating Out,55,789
8,1,2010,Cheam Service Station,,7,782
9,1,2010,Paying back James,,2,780
11,1,2010,South West Trains,Transport,35,745
11,1,2010,Caffe Nero,Eating Out,1,744
11,1,2010,Pret A Manger,Eating Out,5,739
12,1,2010,Starbucks Coffee,Eating Out,2,737
12,1,2010,Greggs,Eating Out,8,729
13,1,2010,Wild Bean Cafe,Eating Out,2,727
13,1,2010,McDonalds,Eating Out,4,723
13,1,2010,ATM Cash Withdrawal,General,10,713
14,1,2010,Caffe Nero,Eating Out,2,711
14,1,2010,ATM Cash Withdrawal,General,10,701
14,1,2010,Paying back James,,1,700
15,1,2010,BRGAS-Electricity,Bills,40,660
15,1,2010,BRGAS-Gas,Bills,52,608
15,1,2010,Tescos,Groceries,61,547
15,1,2010,Costa Coffee,Eating Out,2,545
15,1,2010,McDonalds,Eating Out,6,539
16,1,2010,LBS Council Tax,Bills,50,489
16,1,2010,Anglo restaurant,Eating Out,27,462
17,1,2010,Paying back James,,9,453
18,1,2010,South West Trains,Transport,30,423
18,1,2010,Caffe Nero,Eating Out,1,422
18,1,2010,ATM Cash Withdrawal,General,10,412
19,1,2010,Wild Bean Cafe,Eating Out,2,410
19,1,2010,ATM Cash Withdrawal,General,10,400
20,1,2010,VIRGIN MEDIA PYMTS,Bills,46,354
20,1,2010,Pret A Manger,Eating Out,4,350
20,1,2010,ATM Cash Withdrawal,General,10,340
21,1,2010,Wild Bean Cafe,Eating Out,2,338
21,1,2010,McDonalds,Eating Out,7,331
22,1,2010,Sainsburys,Groceries,42,289
22,1,2010,Starbucks Coffee,Eating Out,2,287
22,1,2010,Chicken Cottage,Eating Out,6,281
22,1,2010,ATM Cash Withdrawal,General,10,271
23,1,2010,Heaven Club,Eating Out,11,260
23,1,2010,Heaven Club,Eating Out,9,251
23,1,2010,Heaven Club,Eating Out,5,246
23,1,2010,Anglo restaurant,Eating Out,42,204
24,1,2010,O2,Bills,31,173
24,1,2010,Red Shop,,2,171
25,1,2010,South West Trains,Transport,24,147
25,1,2010,Caffe Nero,Eating Out,2,145
25,1,2010,Greggs,Eating Out,7,138
25,1,2010,ATM Cash Withdrawal,General,10,128
27,1,2010,Wild Bean Cafe,Eating Out,2,126
27,1,2010,The West Cornwall Pasty Company,Eating Out,7,119
28,1,2010,Wild Bean Cafe,Eating Out,1,118
28,1,2010,Greggs,Eating Out,5,113
29,1,2010,Waitrose,Groceries,47,66
29,1,2010,Costa Coffee,Eating Out,2,64
29,1,2010,The West Cornwall Pasty Company,Eating Out,8,56
29,1,2010,Anglo restaurant,Eating Out,29,27
29,1,2010,ATM Cash Withdrawal,General,10,17
30,1,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,33,-16
30,1,2010,Cheam Service Station,,4,-20
1,2,2010,Rhino Sports salary,General,1700,1680
1,2,2010,South West Trains,Transport,25,1655
1,2,2010,ATM Cash Withdrawal,General,20,1635
2,2,2010,Costa Coffee,Eating Out,2,1633
3,2,2010,Costa Coffee,Eating Out,2,1631
3,2,2010,Chicken Cottage,Eating Out,6,1625
4,2,2010,Caffe Nero,Eating Out,1,1624
4,2,2010,The West Cornwall Pasty Company,Eating Out,6,1618
5,2,2010,Sainsburys,Groceries,75,1543
5,2,2010,Caffe Nero,Eating Out,1,1542
5,2,2010,McDonalds,Eating Out,4,1538
7,2,2010,Cubit and West rent,Rent,550,988
8,2,2010,South West Trains,Transport,24,964
8,2,2010,Caffe Nero,Eating Out,2,962
8,2,2010,Greggs,Eating Out,5,957
8,2,2010,ATM Cash Withdrawal,General,20,937
9,2,2010,Costa Coffee,Eating Out,1,936
10,2,2010,Costa Coffee,Eating Out,1,935
10,2,2010,ATM Cash Withdrawal,General,10,925
11,2,2010,Starbucks Coffee,Eating Out,1,924
11,2,2010,Greggs,Eating Out,5,919
12,2,2010,Morrisons,Groceries,65,854
12,2,2010,Caffe Nero,Eating Out,2,852
12,2,2010,McDonalds,Eating Out,8,844
12,2,2010,The Grand Pub,Eating Out,14,830
12,2,2010,The Grand Pub,Eating Out,7,823
12,2,2010,Pizza Express,Eating Out,26,797
12,2,2010,Tool Shop,,6,791
14,2,2010,Dominos Pizza,Eating Out,40,751
14,2,2010,Tool Shop,,6,745
15,2,2010,BRGAS-Electricity,Bills,29,716
15,2,2010,BRGAS-Gas,Bills,30,686
15,2,2010,South West Trains,Transport,36,650
15,2,2010,Wild Bean Cafe,Eating Out,1,649
15,2,2010,Greggs,Eating Out,4,645
16,2,2010,LBS Council Tax,Bills,50,595
16,2,2010,Costa Coffee,Eating Out,1,594
16,2,2010,Greggs,Eating Out,7,587
18,2,2010,Wild Bean Cafe,Eating Out,1,586
18,2,2010,McDonalds,Eating Out,5,581
19,2,2010,Waitrose,Groceries,75,506
19,2,2010,Starbucks Coffee,Eating Out,2,504
19,2,2010,Greggs,Eating Out,6,498
20,2,2010,VIRGIN MEDIA PYMTS,Bills,45,453
21,2,2010,Pizza Express,Eating Out,51,402
21,2,2010,Civic Shop,,4,398
22,2,2010,South West Trains,Transport,27,371
22,2,2010,Wild Bean Cafe,Eating Out,1,370
22,2,2010,The West Cornwall Pasty Company,Eating Out,4,366
23,2,2010,Subway,Eating Out,7,359
23,2,2010,ATM Cash Withdrawal,General,10,349
24,2,2010,O2,Bills,36,313
24,2,2010,Caffe Nero,Eating Out,1,312
24,2,2010,Greggs,Eating Out,8,304
25,2,2010,Costa Coffee,Eating Out,2,302
25,2,2010,Greggs,Eating Out,8,294
26,2,2010,Sainsburys,Groceries,58,236
26,2,2010,The West Cornwall Pasty Company,Eating Out,4,232
27,2,2010,ATM Cash Withdrawal,General,10,222
28,2,2010,Pizza Express,Eating Out,48,174
1,3,2010,Rhino Sports salary,General,1700,1874
1,3,2010,South West Trains,Transport,38,1836
1,3,2010,Caffe Nero,Eating Out,2,1834
1,3,2010,Greggs,Eating Out,7,1827
2,3,2010,Costa Coffee,Eating Out,2,1825
2,3,2010,The West Cornwall Pasty Company,Eating Out,4,1821
2,3,2010,ATM Cash Withdrawal,General,20,1801
3,3,2010,Costa Coffee,Eating Out,2,1799
3,3,2010,Pret A Manger,Eating Out,5,1794
4,3,2010,Caffe Nero,Eating Out,1,1793
5,3,2010,ASDA,Groceries,74,1719
5,3,2010,Starbucks Coffee,Eating Out,1,1718
5,3,2010,Ministry of Sound ClubXOYO Club,Eating Out,15,1703
5,3,2010,Ministry of Sound ClubXOYO Club,Eating Out,8,1695
5,3,2010,Ministry of Sound ClubXOYO Club,Eating Out,5,1690
5,3,2010,Ministry of Sound ClubXOYO Club,Eating Out,5,1685
6,3,2010,ATM Cash Withdrawal,General,20,1665
7,3,2010,Cubit and West rent,Rent,550,1115
7,3,2010,ATM Cash Withdrawal,General,10,1105
8,3,2010,South West Trains,Transport,37,1068
8,3,2010,Wild Bean Cafe,Eating Out,1,1067
9,3,2010,Costa Coffee,Eating Out,2,1065
9,3,2010,The West Cornwall Pasty Company,Eating Out,5,1060
10,3,2010,Wild Bean Cafe,Eating Out,1,1059
10,3,2010,Greggs,Eating Out,7,1052
11,3,2010,Wild Bean Cafe,Eating Out,2,1050
11,3,2010,McDonalds,Eating Out,7,1043
12,3,2010,Tescos,Groceries,57,986
12,3,2010,Caffe Nero,Eating Out,1,985
12,3,2010,McDonalds,Eating Out,5,980
12,3,2010,Heaven Club,Eating Out,10,970
13,3,2010,ATM Cash Withdrawal,General,20,950
14,3,2010,Anglo restaurant,Eating Out,44,906
14,3,2010,ATM Cash Withdrawal,General,10,896
15,3,2010,BRGAS-Electricity,Bills,35,861
15,3,2010,BRGAS-Gas,Bills,39,822
15,3,2010,South West Trains,Transport,36,786
15,3,2010,Caffe Nero,Eating Out,2,784
16,3,2010,LBS Council Tax,Bills,50,734
16,3,2010,Caffe Nero,Eating Out,1,733
16,3,2010,ATM Cash Withdrawal,General,10,723
17,3,2010,Caffe Nero,Eating Out,2,721
17,3,2010,Greggs,Eating Out,6,715
18,3,2010,Starbucks Coffee,Eating Out,2,713
19,3,2010,Sainsburys,Groceries,63,650
19,3,2010,Caffe Nero,Eating Out,1,649
19,3,2010,Greggs,Eating Out,8,641
19,3,2010,Fabric Club,Eating Out,7,634
19,3,2010,Fabric Club,Eating Out,9,625
19,3,2010,Fabric Club,Eating Out,16,609
19,3,2010,Dominos Pizza,Eating Out,47,562
19,3,2010,ATM Cash Withdrawal,General,20,542
20,3,2010,VIRGIN MEDIA PYMTS,Bills,29,513
21,3,2010,ATM Cash Withdrawal,General,20,493
22,3,2010,South West Trains,Transport,35,458
22,3,2010,Starbucks Coffee,Eating Out,2,456
22,3,2010,ATM Cash Withdrawal,General,10,446
23,3,2010,Starbucks Coffee,Eating Out,2,444
23,3,2010,ATM Cash Withdrawal,General,20,424
24,3,2010,O2,Bills,30,394
24,3,2010,Greggs,Eating Out,6,388
24,3,2010,ATM Cash Withdrawal,General,20,368
26,3,2010,Sainsburys,Groceries,65,303
26,3,2010,McDonalds,Eating Out,5,298
28,3,2010,Pizza Express,Eating Out,31,267
29,3,2010,South West Trains,Transport,29,238
29,3,2010,Wild Bean Cafe,Eating Out,1,237
29,3,2010,The West Cornwall Pasty Company,Eating Out,8,229
29,3,2010,ATM Cash Withdrawal,General,10,219
29,3,2010,Tool Shop,,3,216
30,3,2010,Caffe Nero,Eating Out,2,214
1,4,2010,Rhino Sports salary,General,1700,1914
1,4,2010,Caffe Nero,Eating Out,2,1912
1,4,2010,Subway,Eating Out,4,1908
1,4,2010,Tool Shop,,7,1901
2,4,2010,Sainsburys,Groceries,74,1827
2,4,2010,Costa Coffee,Eating Out,1,1826
2,4,2010,Greggs,Eating Out,6,1820
2,4,2010,ATM Cash Withdrawal,General,10,1810
3,4,2010,Pizza Express,Eating Out,51,1759
4,4,2010,Anglo restaurant,Eating Out,40,1719
4,4,2010,ATM Cash Withdrawal,General,20,1699
5,4,2010,South West Trains,Transport,26,1673
5,4,2010,McDonalds,Eating Out,4,1669
5,4,2010,ATM Cash Withdrawal,General,20,1649
6,4,2010,Costa Coffee,Eating Out,2,1647
7,4,2010,Cubit and West rent,Rent,550,1097
7,4,2010,Starbucks Coffee,Eating Out,2,1095
7,4,2010,The West Cornwall Pasty Company,Eating Out,7,1088
8,4,2010,Caffe Nero,Eating Out,1,1087
8,4,2010,Subway,Eating Out,7,1080
9,4,2010,Waitrose,Groceries,43,1037
9,4,2010,Wild Bean Cafe,Eating Out,1,1036
9,4,2010,ATM Cash Withdrawal,General,10,1026
10,4,2010,ATM Cash Withdrawal,General,10,1016
10,4,2010,Paying back James,,6,1010
12,4,2010,South West Trains,Transport,27,983
12,4,2010,Caffe Nero,Eating Out,2,981
12,4,2010,McDonalds,Eating Out,7,974
13,4,2010,Starbucks Coffee,Eating Out,2,972
14,4,2010,Wild Bean Cafe,Eating Out,2,970
14,4,2010,Pret A Manger,Eating Out,6,964
15,4,2010,BRGAS-Electricity,Bills,42,922
15,4,2010,BRGAS-Gas,Bills,30,892
15,4,2010,Costa Coffee,Eating Out,1,891
15,4,2010,Chicken Cottage,Eating Out,4,887
16,4,2010,LBS Council Tax,Bills,50,837
16,4,2010,Waitrose,Groceries,71,766
16,4,2010,Starbucks Coffee,Eating Out,2,764
17,4,2010,Anglo restaurant,Eating Out,38,726
19,4,2010,South West Trains,Transport,25,701
19,4,2010,Starbucks Coffee,Eating Out,2,699
19,4,2010,ATM Cash Withdrawal,General,20,679
20,4,2010,VIRGIN MEDIA PYMTS,Bills,49,630
20,4,2010,Wild Bean Cafe,Eating Out,1,629
20,4,2010,Chicken Cottage,Eating Out,8,621
21,4,2010,Caffe Nero,Eating Out,1,620
21,4,2010,McDonalds,Eating Out,4,616
22,4,2010,Starbucks Coffee,Eating Out,1,615
22,4,2010,McDonalds,Eating Out,6,609
22,4,2010,ATM Cash Withdrawal,General,20,589
23,4,2010,Waitrose,Groceries,62,527
23,4,2010,Wild Bean Cafe,Eating Out,1,526
24,4,2010,O2,Bills,36,490
24,4,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,48,442
24,4,2010,ATM Cash Withdrawal,General,20,422
26,4,2010,South West Trains,Transport,36,386
26,4,2010,Costa Coffee,Eating Out,2,384
26,4,2010,McDonalds,Eating Out,8,376
26,4,2010,ATM Cash Withdrawal,General,10,366
27,4,2010,Chicken Cottage,Eating Out,4,362
28,4,2010,Caffe Nero,Eating Out,2,360
29,4,2010,Costa Coffee,Eating Out,2,358
29,4,2010,ATM Cash Withdrawal,General,20,338
30,4,2010,Sainsburys,Groceries,68,270
30,4,2010,Costa Coffee,Eating Out,1,269
30,4,2010,Greggs,Eating Out,5,264
30,4,2010,Dominos Pizza,Eating Out,50,214
1,5,2010,Rhino Sports salary,General,1700,1914
1,5,2010,ATM Cash Withdrawal,General,10,1904
2,5,2010,ATM Cash Withdrawal,General,10,1894
3,5,2010,South West Trains,Transport,26,1868
3,5,2010,Caffe Nero,Eating Out,2,1866
3,5,2010,McDonalds,Eating Out,8,1858
4,5,2010,ATM Cash Withdrawal,General,10,1848
5,5,2010,Starbucks Coffee,Eating Out,2,1846
7,5,2010,Cubit and West rent,Rent,550,1296
7,5,2010,Tescos,Groceries,75,1221
7,5,2010,Costa Coffee,Eating Out,1,1220
7,5,2010,The West Cornwall Pasty Company,Eating Out,5,1215
