Day,Month,Year,Description,Category,Value,Balance
1,1,2010,Rhino Sports salary,General,1600,1600
1,1,2010,ASDA,Groceries,47,1553
1,1,2010,Wild Bean Cafe,Eating Out,1,1552
1,1,2010,Pret A Manger,Eating Out,5,1547
2,1,2010,ATM Cash Withdrawal,General,20,1527
2,1,2010,Paying back Julie,,4,1523
4,1,2010,South West Trains,Transport,33,1490
4,1,2010,Costa Coffee,Eating Out,2,1488
4,1,2010,The West Cornwall Pasty Company,Eating Out,7,1481
4,1,2010,ATM Cash Withdrawal,General,20,1461
4,1,2010,Paying back Julie,,8,1453
5,1,2010,Caffe Nero,Eating Out,1,1452
5,1,2010,The West Cornwall Pasty Company,Eating Out,5,1447
5,1,2010,ATM Cash Withdrawal,General,10,1437
6,1,2010,Starbucks Coffee,Eating Out,1,1436
6,1,2010,The West Cornwall Pasty Company,Eating Out,8,1428
7,1,2010,Cubit and West rent,Rent,440,988
7,1,2010,Starbucks Coffee,Eating Out,1,987
7,1,2010,Subway,Eating Out,7,980
7,1,2010,Tool Shop,,1,979
8,1,2010,Tescos,Groceries,66,913
8,1,2010,Dominos Pizza,Eating Out,31,882
9,1,2010,Paying back James,,1,881
11,1,2010,South West Trains,Transport,38,843
11,1,2010,Wild Bean Cafe,Eating Out,2,841
11,1,2010,Pret A Manger,Eating Out,8,833
11,1,2010,ATM Cash Withdrawal,General,10,823
12,1,2010,Starbucks Coffee,Eating Out,2,821
12,1,2010,Pret A Manger,Eating Out,5,816
13,1,2010,Wild Bean Cafe,Eating Out,2,814
13,1,2010,McDonalds,Eating Out,5,809
14,1,2010,Starbucks Coffee,Eating Out,1,808
14,1,2010,ATM Cash Withdrawal,General,20,788
15,1,2010,BRGAS-Electricity,Bills,39,749
15,1,2010,BRGAS-Gas,Bills,44,705
15,1,2010,Tescos,Groceries,47,658
15,1,2010,Starbucks Coffee,Eating Out,1,657
15,1,2010,Pret A Manger,Eating Out,6,651
15,1,2010,Cheam Service Station,,2,649
16,1,2010,LBS Council Tax,Bills,35,614
16,1,2010,ATM Cash Withdrawal,General,10,604
17,1,2010,Scott's Restaurant,Eating Out,24,580
17,1,2010,Cheam Service Station,,5,575
18,1,2010,South West Trains,Transport,34,541
18,1,2010,Costa Coffee,Eating Out,2,539
18,1,2010,Subway,Eating Out,8,531
18,1,2010,ATM Cash Withdrawal,General,10,521
19,1,2010,Wild Bean Cafe,Eating Out,1,520
19,1,2010,McDonalds,Eating Out,7,513
20,1,2010,VIRGIN MEDIA PYMTS,Bills,42,471
20,1,2010,Costa Coffee,Eating Out,2,469
20,1,2010,Pret A Manger,Eating Out,4,465
20,1,2010,ATM Cash Withdrawal,General,20,445
21,1,2010,Wild Bean Cafe,Eating Out,2,443
21,1,2010,Greggs,Eating Out,4,439
22,1,2010,Morrisons,Groceries,74,365
22,1,2010,Starbucks Coffee,Eating Out,2,363
23,1,2010,ATM Cash Withdrawal,General,20,343
23,1,2010,Civic Shop,,9,334
24,1,2010,O2,Bills,27,307
24,1,2010,Scott's Restaurant,Eating Out,46,261
25,1,2010,South West Trains,Transport,35,226
25,1,2010,Wild Bean Cafe,Eating Out,2,224
25,1,2010,Pret A Manger,Eating Out,4,220
26,1,2010,Costa Coffee,Eating Out,2,218
26,1,2010,Subway,Eating Out,8,210
27,1,2010,Caffe Nero,Eating Out,1,209
27,1,2010,ATM Cash Withdrawal,General,20,189
27,1,2010,Cheam Service Station,,2,187
28,1,2010,Caffe Nero,Eating Out,2,185
29,1,2010,Waitrose,Groceries,41,144
29,1,2010,Wild Bean Cafe,Eating Out,1,143
29,1,2010,Anglo restaurant,Eating Out,34,109
29,1,2010,Cheam Service Station,,7,102
30,1,2010,Dominos Pizza,Eating Out,53,49
31,1,2010,ATM Cash Withdrawal,General,10,39
1,2,2010,Rhino Sports salary,General,1600,1639
1,2,2010,South West Trains,Transport,30,1609
1,2,2010,Wild Bean Cafe,Eating Out,2,1607
1,2,2010,McDonalds,Eating Out,8,1599
2,2,2010,Greggs,Eating Out,8,1591
3,2,2010,Caffe Nero,Eating Out,2,1589
3,2,2010,The West Cornwall Pasty Company,Eating Out,7,1582
3,2,2010,ATM Cash Withdrawal,General,10,1572
4,2,2010,Greggs,Eating Out,6,1566
4,2,2010,ATM Cash Withdrawal,General,20,1546
5,2,2010,Morrisons,Groceries,58,1488
5,2,2010,Caffe Nero,Eating Out,1,1487
5,2,2010,The West Cornwall Pasty Company,Eating Out,5,1482
5,2,2010,Dominos Pizza,Eating Out,44,1438
6,2,2010,ATM Cash Withdrawal,General,20,1418
7,2,2010,Cubit and West rent,Rent,440,978
7,2,2010,Civic Shop,,7,971
8,2,2010,South West Trains,Transport,37,934
8,2,2010,The West Cornwall Pasty Company,Eating Out,5,929
8,2,2010,ATM Cash Withdrawal,General,20,909
9,2,2010,Starbucks Coffee,Eating Out,2,907
10,2,2010,Caffe Nero,Eating Out,2,905
10,2,2010,ATM Cash Withdrawal,General,20,885
11,2,2010,Costa Coffee,Eating Out,2,883
