Day,Month,Year,Description,Category,Value,Balance
1,1,2010,Rhino Sports salary,General,1700,1700
1,1,2010,Waitrose,Groceries,68,1632
1,1,2010,Wild Bean Cafe,Eating Out,2,1630
1,1,2010,Subway,Eating Out,7,1623
1,1,2010,Pizza Express,Eating Out,55,1568
4,1,2010,South West Trains,Transport,35,1533
6,1,2010,Costa Coffee,Eating Out,1,1532
6,1,2010,Pret A Manger,Eating Out,8,1524
6,1,2010,Tool Shop,,2,1522
7,1,2010,Cubit and West rent,Rent,550,972
7,1,2010,Wild Bean Cafe,Eating Out,2,970
7,1,2010,Greggs,Eating Out,4,966
8,1,2010,Morrisons,Groceries,45,921
8,1,2010,Greggs,Eating Out,8,913
8,1,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,34,879
11,1,2010,South West Trains,Transport,37,842
11,1,2010,Wild Bean Cafe,Eating Out,1,841
11,1,2010,McDonalds,Eating Out,5,836
11,1,2010,Paying back Julie,,5,831
12,1,2010,ATM Cash Withdrawal,General,20,811
13,1,2010,Wild Bean Cafe,Eating Out,1,810
14,1,2010,Costa Coffee,Eating Out,2,808
14,1,2010,The West Cornwall Pasty Company,Eating Out,7,801
14,1,2010,ATM Cash Withdrawal,General,20,781
14,1,2010,Tool Shop,,7,774
15,1,2010,BRGAS-Electricity,Bills,26,748
15,1,2010,BRGAS-Gas,Bills,35,713
15,1,2010,Sainsburys,Groceries,49,664
15,1,2010,Wild Bean Cafe,Eating Out,1,663
15,1,2010,The West Cornwall Pasty Company,Eating Out,8,655
15,1,2010,Tool Shop,,9,646
16,1,2010,LBS Council Tax,Bills,50,596
16,1,2010,Dominos Pizza,Eating Out,28,568
16,1,2010,Tool Tec,,9,559
17,1,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,39,520
17,1,2010,ATM Cash Withdrawal,General,10,510
18,1,2010,South West Trains,Transport,32,478
18,1,2010,Costa Coffee,Eating Out,1,477
18,1,2010,Greggs,Eating Out,8,469
18,1,2010,ATM Cash Withdrawal,General,20,449
19,1,2010,Caffe Nero,Eating Out,1,448
19,1,2010,McDonalds,Eating Out,8,440
20,1,2010,VIRGIN MEDIA PYMTS,Bills,54,386
20,1,2010,Starbucks Coffee,Eating Out,2,384
20,1,2010,The West Cornwall Pasty Company,Eating Out,7,377
20,1,2010,Red Shop,,9,368
21,1,2010,Costa Coffee,Eating Out,1,367
21,1,2010,The West Cornwall Pasty Company,Eating Out,6,361
21,1,2010,ATM Cash Withdrawal,General,20,341
22,1,2010,ASDA,Groceries,64,277
22,1,2010,Costa Coffee,Eating Out,1,276
22,1,2010,The West Cornwall Pasty Company,Eating Out,7,269
22,1,2010,Scott's Restaurant,Eating Out,38,231
23,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,9,222
