Day,Month,Year,Description,Category,Value,Balance
1,1,2010,Rhino Sports salary,General,1600,1600
1,1,2010,Sainsburys,Groceries,48,1552
1,1,2010,McDonalds,Eating Out,7,1545
1,1,2010,Pizza Express,Eating Out,24,1521
3,1,2010,ATM Cash Withdrawal,General,20,1501
4,1,2010,South West Trains,Transport,25,1476
4,1,2010,Caffe Nero,Eating Out,1,1475
4,1,2010,The West Cornwall Pasty Company,Eating Out,6,1469
6,1,2010,ATM Cash Withdrawal,General,10,1459
7,1,2010,Cubit and West rent,Rent,400,1059
7,1,2010,Costa Coffee,Eating Out,1,1058
7,1,2010,Subway,Eating Out,5,1053
8,1,2010,Waitrose,Groceries,68,985
8,1,2010,Costa Coffee,Eating Out,2,983
10,1,2010,Anglo restaurant,Eating Out,53,930
10,1,2010,ATM Cash Withdrawal,General,20,910
11,1,2010,South West Trains,Transport,22,888
11,1,2010,Wild Bean Cafe,Eating Out,2,886
11,1,2010,Greggs,Eating Out,6,880
12,1,2010,Costa Coffee,Eating Out,2,878
12,1,2010,Paying back James,,7,871
13,1,2010,Caffe Nero,Eating Out,1,870
14,1,2010,Costa Coffee,Eating Out,2,868
14,1,2010,Chicken Cottage,Eating Out,5,863
15,1,2010,BRGAS-Electricity,Bills,29,834
15,1,2010,BRGAS-Gas,Bills,60,774
15,1,2010,Waitrose,Groceries,53,721
15,1,2010,Wild Bean Cafe,Eating Out,2,719
15,1,2010,Subway,Eating Out,6,713
15,1,2010,Dominos Pizza,Eating Out,33,680
16,1,2010,LBS Council Tax,Bills,20,660
16,1,2010,Heaven Club,Eating Out,12,648
16,1,2010,Heaven Club,Eating Out,10,638
16,1,2010,Heaven Club,Eating Out,13,625
17,1,2010,Pizza Express,Eating Out,39,586
17,1,2010,ATM Cash Withdrawal,General,20,566
17,1,2010,Paying back Julie,,5,561
18,1,2010,South West Trains,Transport,18,543
18,1,2010,Starbucks Coffee,Eating Out,1,542
18,1,2010,McDonalds,Eating Out,5,537
19,1,2010,McDonalds,Eating Out,5,532
20,1,2010,VIRGIN MEDIA PYMTS,Bills,23,509
20,1,2010,Wild Bean Cafe,Eating Out,1,508
20,1,2010,Pret A Manger,Eating Out,5,503
20,1,2010,ATM Cash Withdrawal,General,10,493
21,1,2010,Wild Bean Cafe,Eating Out,2,491
21,1,2010,Subway,Eating Out,7,484
22,1,2010,Morrisons,Groceries,41,443
22,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,6,437
22,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,6,431
22,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,7,424
22,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,14,410
22,1,2010,Ministry of Sound ClubXOYO Club,Eating Out,11,399
22,1,2010,Scott's Restaurant,Eating Out,29,370
24,1,2010,O2,Bills,21,349
24,1,2010,Pizza Express,Eating Out,51,298
25,1,2010,South West Trains,Transport,17,281
25,1,2010,Starbucks Coffee,Eating Out,1,280
25,1,2010,ATM Cash Withdrawal,General,10,270
27,1,2010,Caffe Nero,Eating Out,2,268
28,1,2010,McDonalds,Eating Out,5,263
28,1,2010,ATM Cash Withdrawal,General,10,253
29,1,2010,Waitrose,Groceries,38,215
29,1,2010,Caffe Nero,Eating Out,2,213
29,1,2010,Dominos Pizza,Eating Out,57,156
30,1,2010,The Grand Pub,Eating Out,7,149
30,1,2010,The Grand Pub,Eating Out,10,139
30,1,2010,The Grand Pub,Eating Out,10,129
30,1,2010,The Grand Pub,Eating Out,14,115
30,1,2010,The Grand Pub,Eating Out,13,102
30,1,2010,The Grand Pub,Eating Out,13,89
30,1,2010,ATM Cash Withdrawal,General,10,79
30,1,2010,Cheam Service Station,,8,71
31,1,2010,ATM Cash Withdrawal,General,20,51
1,2,2010,Rhino Sports salary,General,1600,1651
1,2,2010,South West Trains,Transport,23,1628
1,2,2010,Wild Bean Cafe,Eating Out,1,1627
1,2,2010,Subway,Eating Out,7,1620
2,2,2010,Wild Bean Cafe,Eating Out,2,1618
2,2,2010,Subway,Eating Out,6,1612
3,2,2010,Caffe Nero,Eating Out,2,1610
4,2,2010,Caffe Nero,Eating Out,2,1608
4,2,2010,The West Cornwall Pasty Company,Eating Out,8,1600
4,2,2010,ATM Cash Withdrawal,General,10,1590
5,2,2010,ASDA,Groceries,54,1536
5,2,2010,Caffe Nero,Eating Out,2,1534
6,2,2010,Scott's Restaurant,Eating Out,40,1494
7,2,2010,Cubit and West rent,Rent,400,1094
8,2,2010,South West Trains,Transport,19,1075
8,2,2010,Greggs,Eating Out,7,1068
8,2,2010,ATM Cash Withdrawal,General,20,1048
8,2,2010,Tool Shop,,8,1040
9,2,2010,Caffe Nero,Eating Out,1,1039
10,2,2010,Wild Bean Cafe,Eating Out,2,1037
10,2,2010,Pret A Manger,Eating Out,7,1030
10,2,2010,ATM Cash Withdrawal,General,10,1020
11,2,2010,Pret A Manger,Eating Out,7,1013
12,2,2010,Tescos,Groceries,72,941
13,2,2010,Fabric Club,Eating Out,14,927
13,2,2010,Fabric Club,Eating Out,16,911
13,2,2010,Fabric Club,Eating Out,12,899
13,2,2010,Scott's Restaurant,Eating Out,44,855
13,2,2010,ATM Cash Withdrawal,General,10,845
14,2,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,54,791
14,2,2010,ATM Cash Withdrawal,General,10,781
14,2,2010,Paying back Julie,,1,780
15,2,2010,BRGAS-Electricity,Bills,22,758
15,2,2010,BRGAS-Gas,Bills,14,744
15,2,2010,South West Trains,Transport,20,724
15,2,2010,Greggs,Eating Out,5,719
16,2,2010,LBS Council Tax,Bills,20,699
16,2,2010,Wild Bean Cafe,Eating Out,1,698
16,2,2010,The West Cornwall Pasty Company,Eating Out,5,693
17,2,2010,Costa Coffee,Eating Out,1,692
17,2,2010,Pret A Manger,Eating Out,5,687
17,2,2010,ATM Cash Withdrawal,General,10,677
18,2,2010,Caffe Nero,Eating Out,1,676
19,2,2010,Tescos,Groceries,49,627
19,2,2010,Starbucks Coffee,Eating Out,2,625
19,2,2010,Pret A Manger,Eating Out,8,617
20,2,2010,VIRGIN MEDIA PYMTS,Bills,19,598
20,2,2010,Scott's Restaurant,Eating Out,48,550
20,2,2010,ATM Cash Withdrawal,General,20,530
21,2,2010,ATM Cash Withdrawal,General,20,510
22,2,2010,South West Trains,Transport,19,491
22,2,2010,Wild Bean Cafe,Eating Out,1,490
22,2,2010,Subway,Eating Out,7,483
23,2,2010,Wild Bean Cafe,Eating Out,1,482
24,2,2010,O2,Bills,23,459
24,2,2010,Starbucks Coffee,Eating Out,1,458
24,2,2010,ATM Cash Withdrawal,General,10,448
25,2,2010,Costa Coffee,Eating Out,2,446
26,2,2010,Morrisons,Groceries,45,401
26,2,2010,Caffe Nero,Eating Out,2,399
26,2,2010,McDonalds,Eating Out,6,393
26,2,2010,ATM Cash Withdrawal,General,20,373
1,3,2010,Rhino Sports salary,General,1600,1973
1,3,2010,South West Trains,Transport,19,1954
1,3,2010,Caffe Nero,Eating Out,1,1953
1,3,2010,Pret A Manger,Eating Out,5,1948
2,3,2010,Costa Coffee,Eating Out,2,1946
2,3,2010,Greggs,Eating Out,5,1941
3,3,2010,Costa Coffee,Eating Out,2,1939
3,3,2010,ATM Cash Withdrawal,General,10,1929
4,3,2010,Costa Coffee,Eating Out,1,1928
4,3,2010,McDonalds,Eating Out,6,1922
5,3,2010,Morrisons,Groceries,40,1882
5,3,2010,Costa Coffee,Eating Out,2,1880
6,3,2010,ATM Cash Withdrawal,General,10,1870
7,3,2010,Cubit and West rent,Rent,400,1470
7,3,2010,Dominos Pizza,Eating Out,32,1438
8,3,2010,South West Trains,Transport,20,1418
8,3,2010,Pret A Manger,Eating Out,7,1411
9,3,2010,Subway,Eating Out,7,1404
9,3,2010,ATM Cash Withdrawal,General,20,1384
10,3,2010,McDonalds,Eating Out,5,1379
10,3,2010,ATM Cash Withdrawal,General,10,1369
11,3,2010,Costa Coffee,Eating Out,2,1367
11,3,2010,McDonalds,Eating Out,6,1361
11,3,2010,ATM Cash Withdrawal,General,10,1351
12,3,2010,Tescos,Groceries,46,1305
12,3,2010,Pret A Manger,Eating Out,8,1297
12,3,2010,ATM Cash Withdrawal,General,20,1277
14,3,2010,Dominos Pizza,Eating Out,25,1252
15,3,2010,BRGAS-Electricity,Bills,27,1225
15,3,2010,BRGAS-Gas,Bills,26,1199
15,3,2010,South West Trains,Transport,25,1174
15,3,2010,Caffe Nero,Eating Out,1,1173
15,3,2010,McDonalds,Eating Out,8,1165
15,3,2010,ATM Cash Withdrawal,General,20,1145
16,3,2010,LBS Council Tax,Bills,20,1125
16,3,2010,Costa Coffee,Eating Out,1,1124
16,3,2010,Pret A Manger,Eating Out,8,1116
16,3,2010,Tool Tec,,5,1111
17,3,2010,Wild Bean Cafe,Eating Out,2,1109
18,3,2010,Starbucks Coffee,Eating Out,2,1107
18,3,2010,Pret A Manger,Eating Out,8,1099
18,3,2010,ATM Cash Withdrawal,General,10,1089
19,3,2010,Sainsburys,Groceries,60,1029
19,3,2010,McDonalds,Eating Out,8,1021
19,3,2010,Restaurant Gordon RamsayPortland Restaurant,Eating Out,42,979
